time_points	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46
ENSG00000100297	89.5544	112.279	120.071	116.911	93.7615	83.7172	73.5185	71.7783	52.9779	53.4876	71.0181	88.2296	85.0662	93.9563	102.33200000000001	95.3353	82.6777	73.4704	69.4187	66.2285	71.4499	77.1719	72.1002	82.0425
ENSG00000111737	33.6787	33.9649	34.5974	43.826	37.866	34.5264	33.4752	32.9779	27.8938	30.2596	32.1776	33.8783	33.7923	34.3667	36.779	36.7686	37.1262	33.7938	33.6719	33.1747	33.0931	30.3869	29.9575	28.1913
ENSG00000148297	10.9754	11.4919	13.1811	15.9254	14.3011	13.6206	10.7808	10.4147	7.40619	8.53674	8.91212	9.22921	10.8982	12.6116	14.3181	14.3844	11.5667	12.2166	11.1052	10.0804	10.7747	10.9254	10.1276	10.4305
ENSG00000105701	93.0061	95.5631	91.3691	100.916	95.9699	91.2859	90.8531	89.0584	59.8485	43.0871	90.4463	88.9742	90.7449	93.7917	98.7172	102.14399999999999	98.0217	96.2464	88.689	86.4487	88.1393	85.7294	90.0463	91.35799999999999
ENSG00000197818	3.91415	4.43319	5.506869999999999	4.99821	4.52989	4.3663099999999995	3.55905	3.5702	3.30405	3.51704	2.87302	3.6711199999999997	3.7475699999999996	4.05694	4.50633	3.9312699999999996	4.22008	3.5954	3.69579	3.3656900000000003	3.35434	3.4982800000000003	3.60724	3.7202699999999997
ENSG00000166452	21.1853	19.0743	21.5867	23.3915	21.6954	21.2812	20.1074	18.6988	18.3571	18.9814	21.1244	21.476	20.6623	22.7517	22.2258	23.0243	20.386	19.9568	19.0768	18.3521	18.9601	19.2651	19.6149	21.5098
ENSG00000126821	5.89158	4.39992	4.90762	4.30536	4.59326	4.80849	5.62668	5.28334	6.11475	6.309880000000001	5.74209	5.814769999999999	5.989669999999999	5.5258	4.7548699999999995	4.22141	4.36266	5.10077	5.71864	6.157780000000001	5.77383	6.683889999999999	6.19055	7.570180000000001
ENSG00000134278	7.713710000000001	6.505240000000001	6.36482	6.53568	6.67944	7.23303	8.382589999999999	8.1693	9.63411	14.270999999999999	7.971310000000001	8.05021	7.058730000000001	7.6756	7.244160000000001	6.9801	8.17083	8.00088	8.43258	9.24976	9.64555	8.563360000000001	8.467410000000001	7.654710000000001
ENSG00000249637	2.90705	3.77052	2.7752	2.24162	2.73168	1.99848	2.1085700000000003	2.24417	1.21842	1.61215	2.02108	3.27458	3.281	3.59349	3.27851	2.5918799999999997	2.15898	1.9281	1.91376	1.54989	1.72531	1.9872400000000001	2.3134900000000003	2.5230200000000003
ENSG00000112511	28.4806	32.2821	34.1676	45.6883	34.0359	32.0918	27.0365	26.6934	15.5771	11.0952	26.677	26.134	28.2002	31.6731	29.6564	29.613000000000003	32.36	27.2197	26.3039	24.5705	25.6467	25.469	25.0419	24.4474
ENSG00000176903	14.6633	19.9643	22.6095	22.1914	19.4682	17.8944	16.8092	15.4413	13.682	12.5695	14.5314	16.2373	16.5585	17.5759	18.3339	17.0361	18.8016	15.2973	15.5644	15.292	14.3735	13.4494	14.0209	13.5809
ENSG00000267896	3.36151	4.23635	7.403	8.55761	7.31014	4.3196699999999995	3.85114	3.0651	0.6739430000000001	0.8819459999999999	3.194	3.7456699999999996	4.62142	5.43243	5.76464	5.15917	4.73484	4.60259	3.3302099999999997	4.26654	3.9891900000000002	3.56495	4.20581	4.969119999999999
ENSG00000011304	276.103	300.974	309.686	307.563	304.05	301.759	264.89799999999997	246.11	203.268	200.43900000000002	227.023	262.466	256.883	278.777	286.83799999999997	288.171	255.15599999999998	260.122	246.171	242.628	241.331	239.55200000000002	234.04	228.14700000000002
ENSG00000115317	31.1609	34.5186	43.4195	50.5141	47.653999999999996	47.7034	39.7876	38.7713	26.8615	20.0149	30.9323	29.87	33.7242	40.0892	39.5897	41.0759	36.4249	34.4802	33.2269	32.403	32.8803	31.5899	32.9073	33.5126
ENSG00000198728	67.7562	61.5412	71.6633	95.0037	76.0242	70.9138	68.6554	62.6092	55.2892	50.75	57.8142	60.5168	61.2834	67.1677	72.5598	72.3885	81.3299	72.2505	67.274	66.4399	65.1673	65.3579	60.9977	58.808
