,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46
ABL1,1.7477553,-0.12555553,-2.0039978,-0.38957143,0.62394714,-0.635417,-0.16198327,-0.2348671,-1.4414979,-1.6031852,-1.8071213,-1.0914811,-1.2245475,-0.58686846,-0.06975159,0.8843945,-0.08732219,1.75914,1.0904776,0.5292113,0.8954474,1.3481854,2.9944544,3.7150826
ADNP,-1.3461334,0.2865772,-0.5110233,0.9961356,-1.5021251,-2.0616472,-2.237794,-0.92538196,0.90266997,-0.04989018,0.43846378,1.1003296,0.044170383,0.97761387,0.14096329,1.0541298,1.4634182,0.1823875,-0.63224065,-0.51591796,-0.4295351,-0.7031412,0.5078152,0.7369045
ADNP2,-1.2514402,-0.4316089,0.12524794,-1.4807023,0.072988845,1.2165024,-0.9008484,2.2455747,-0.99581236,-1.1671021,0.84368783,0.0044075996,1.1665282,-0.96132797,2.0350876,0.068050765,-1.3190708,-0.7128264,1.8380177,1.4547676,2.0600703,1.4613191,0.59509647,0.32372627
AEBP1,-1.2954639,-0.38220474,0.69907063,-0.64778316,-0.456142,-0.15244684,0.109395444,0.3196578,-0.1563128,-0.060833216,-0.14615694,-0.4574825,-0.2662093,-0.8902846,-0.7313983,0.6067201,-0.45381653,0.24247378,0.96858054,0.47394645,1.2158653,1.3701041,-0.19588873,1.3048782
AHR,1.6151528,0.51023394,-0.10564463,1.016298,1.2509004,1.5470108,1.0917726,1.9641621,0.09775912,-0.32287627,-2.2114646,-1.3798945,-3.0828066,-1.1808871,-1.5655656,-0.1649562,-1.1191896,0.06451975,-0.5966942,-0.87924564,-0.40610155,0.19116537,0.37662542,0.8414031
AHRR,-0.87943614,-0.12878115,1.058431,1.2980785,1.752865,1.6027024,2.5969188,1.260856,-0.6888417,-0.89158744,0.6127203,-1.9482603,0.11937241,0.7023926,-0.45971867,0.012847149,-0.2895804,0.36789218,0.28801125,-1.4334415,-1.6602108,-1.198017,0.06624625,-0.12616067
AIP,-0.061398257,0.34319696,1.2509909,1.0124068,1.1244944,1.0609565,1.5400492,0.6343218,0.03999889,-0.5644721,0.27310404,-0.40408903,-0.10416918,0.46509394,-0.06776655,-0.39930442,0.15288244,-0.015051553,-0.4303446,-1.1304165,-1.4408041,-0.48870713,-1.1277273,-1.5158938
AIRE,1.7157532,1.0914805,-0.103877805,1.3008442,0.5305912,0.17562033,0.42524546,0.1996748,1.2347612,0.24318258,-1.1320432,-0.6894126,-0.14262176,-0.93169934,-0.66710037,-1.1489067,1.1811075,-1.3066415,-1.315347,-0.37149,-1.2294829,-1.4302019,-1.4131209,-1.1087708
ALX1,1.4663227,0.30173245,-0.07221873,0.8100871,0.32620057,0.25120854,-0.15603037,-0.6755365,0.8180003,0.46611217,-1.1907219,-1.6493688,-0.4082594,0.5795879,-0.76731086,-1.0339108,0.76117283,0.15135802,-0.62564594,-0.5496821,-0.14214733,-0.58915967,-0.77134866,-0.47770378
AP1,2.2862973,-0.67117745,-3.3435555,-0.8789613,-1.0919497,-0.859027,-0.6231191,-0.0031003405,-0.8306577,-1.0697684,-1.9644263,-1.6355528,-2.0308433,-0.051542096,-1.3458492,-1.489657,2.1456451,1.8631955,2.358158,2.3310797,1.8013248,2.0904622,2.8571544,3.615568
